,Ttl Volume,Avg Volume,Ttl Through,Ttl Left Turn,Ttl Right Turn,Ttl Wrong Way,Overall Avg Speed," 04 Eb Through #1"," 04 Eb Through #3"," 07 Eb Left Turn #1"," 07 Eb Left Turn #2"," 04 Eb Through #1"," 04 Eb Through #3"," 07 Eb Left Turn #1"," 07 Eb Left Turn #2",Class 1: 0-22ft,Class 2: 22-36ft,Class 3: 36-Up
04/02/2020 08:00,35,5.8,3,32,0,0,9.0,6,5,9,15,7.3333333333,6,11,11.6111111111,20,13,2
04/02/2020 08:30,81,13.5,11,70,0,0,14.5,20,11,25,25,18.7916666667,14.4166666667,13.1597222222,11.4503968254,48,19,15
04/02/2020 09:00,105,17.5,21,84,0,0,14.2,26,17,23,39,16.9333333333,12.5888888889,14.9166666667,12.3814814815,71,27,7
04/02/2020 09:30,97,16.2,24,73,0,0,14.1,23,18,27,29,17.5555555556,13.3452380952,12.8702380952,12.7146825397,74,20,3
04/02/2020 10:00,100,16.7,18,82,0,0,14.7,24,17,26,33,17.6805555556,12.8972222222,13.7837301587,14.4055555556,65,30,5
04/02/2020 10:30,102,17.0,13,89,0,0,14.7,14,18,33,37,15.6111111111,16.6083333333,12.9027777778,13.8150793651,72,26,4
04/02/2020 11:00,109,18.2,23,86,0,0,14.8,24,28,26,31,15.6357142857,15.7847222222,13.6972222222,13.987037037,71,35,3
04/02/2020 11:30,112,18.7,17,95,0,0,15.2,28,18,23,43,13.8698412698,18.6527777778,13.6277777778,14.4953703704,78,25,9
04/02/2020 12:00,129,21.5,24,105,0,0,14.7,28,22,30,49,15.5222222222,14.5444444444,14.3206349206,14.3077441077,94,32,3
04/02/2020 12:30,151,25.2,33,118,0,0,16.6,41,36,30,44,18.7324074074,18.6182539683,14.8174603175,14.1037037037,102,44,5
04/02/2020 13:00,161,26.8,38,123,0,0,17.1,52,30,37,42,21.5106060606,19.4968253968,13.4600529101,14.0911375661,89,57,15
04/02/2020 13:30,168,28.0,30,138,0,0,15.3,39,27,43,59,16.5486111111,17.1738095238,13.67003367,13.9515151515,109,49,10
04/02/2020 14:00,161,26.8,42,119,0,0,16.3,49,30,30,52,19.9450549451,18.0327380952,13.7722222222,13.6446428571,100,54,7
