," 04 Eb Through #1",,," 04 Eb Through #3",,," 07 Eb Left Turn #1",,," 07 Eb Left Turn #2",
,Curr Count,Running Total,,Curr Count,Running Total,,Curr Count,Running Total,,Curr Count,Running Total
07/28/2020 03:20:00.00,0,11,,0,15,,0,8,,0,20
07/28/2020 03:25:00.00,0,11,,0,15,,0,8,,0,20
07/28/2020 03:30:00.00,0,11,,0,15,,0,8,,0,20
07/28/2020 03:35:00.00,0,11,,0,15,,0,8,,0,20
07/28/2020 03:40:00.00,0,11,,0,15,,0,8,,0,20
07/28/2020 03:45:00.00,0,11,,0,15,,0,8,,0,20
07/28/2020 03:50:00.00,0,11,,0,15,,0,8,,0,20
07/28/2020 03:55:00.00,0,11,,0,15,,0,8,,0,20
07/28/2020 04:00:00.00,0,11,,0,15,,0,8,,0,20
07/28/2020 04:05:00.00,0,11,,0,15,,0,8,,0,20
07/28/2020 04:10:00.00,0,11,,0,15,,0,8,,0,20
07/28/2020 04:15:00.00,0,11,,0,15,,0,8,,0,20
07/28/2020 04:20:00.00,0,11,,0,15,,0,8,,0,20
07/28/2020 04:25:00.00,0,11,,0,15,,0,8,,0,20
07/28/2020 04:30:00.00,0,11,,0,15,,0,8,,0,20
07/28/2020 04:35:00.00,0,11,,0,15,,0,8,,0,20
07/28/2020 04:40:00.00,0,11,,0,15,,0,8,,0,20
07/28/2020 04:45:00.00,0,11,,0,15,,0,8,,0,20
07/28/2020 04:50:00.00,0,11,,0,15,,0,8,,0,20
07/28/2020 04:55:00.00,0,11,,0,15,,0,8,,0,20
07/28/2020 05:00:00.00,0,11,,0,15,,0,8,,2,22
07/28/2020 05:05:00.00,0,11,,0,15,,0,8,,0,22
07/28/2020 05:10:00.00,0,11,,0,15,,0,8,,0,22
07/28/2020 05:15:00.00,0,11,,0,15,,0,8,,0,22
07/28/2020 05:20:00.00,0,11,,0,15,,0,8,,0,22
07/28/2020 05:25:00.00,0,11,,1,16,,0,8,,0,22
07/28/2020 05:30:00.00,0,11,,0,16,,0,8,,0,22
07/28/2020 05:35:00.00,0,11,,0,16,,0,8,,0,22
07/28/2020 05:40:00.00,0,11,,0,16,,0,8,,0,22
07/28/2020 05:45:00.00,0,11,,0,16,,0,8,,0,22
07/28/2020 05:50:00.00,0,11,,0,16,,0,8,,0,22
07/28/2020 05:55:00.00,0,11,,0,16,,0,8,,0,22
07/28/2020 06:00:00.00,0,11,,0,16,,0,8,,0,22
07/28/2020 06:05:00.00,0,11,,0,16,,0,8,,0,22
07/28/2020 06:10:00.00,0,11,,0,16,,0,8,,0,22
07/28/2020 06:15:00.00,0,11,,0,16,,0,8,,0,22
07/28/2020 06:20:00.00,0,11,,0,16,,0,8,,0,22
07/28/2020 06:25:00.00,0,11,,0,16,,0,8,,0,22
07/28/2020 06:30:00.00,0,11,,0,16,,0,8,,0,22
07/28/2020 06:35:00.00,0,11,,0,16,,0,8,,0,22
07/28/2020 06:40:00.00,0,11,,1,17,,0,8,,0,22
07/28/2020 06:45:00.00,0,11,,0,17,,0,8,,0,22
07/28/2020 06:50:00.00,0,11,,0,17,,0,8,,0,22
07/28/2020 06:55:00.00,0,11,,0,17,,0,8,,2,24
07/28/2020 07:00:00.00,0,11,,0,17,,0,8,,0,24
07/28/2020 07:05:00.00,0,11,,0,17,,0,8,,0,24
07/28/2020 07:10:00.00,0,11,,0,17,,0,8,,0,24
07/28/2020 07:15:00.00,0,11,,0,17,,0,8,,0,24
07/28/2020 07:20:00.00,0,11,,0,17,,0,8,,0,24
07/28/2020 07:25:00.00,0,11,,0,17,,0,8,,0,24
07/28/2020 07:30:00.00,0,11,,0,17,,0,8,,0,24
07/28/2020 07:35:00.00,0,11,,0,17,,0,8,,0,24
07/28/2020 07:40:00.00,0,11,,0,17,,0,8,,0,24
07/28/2020 07:45:00.00,0,11,,0,17,,0,8,,0,24
07/28/2020 07:50:00.00,0,11,,0,17,,0,8,,0,24
07/28/2020 07:55:00.00,0,11,,0,17,,1,9,,0,24
07/28/2020 08:00:00.00,0,11,,0,17,,1,10,,1,25
07/28/2020 08:05:00.00,0,11,,0,17,,0,10,,0,25
07/28/2020 08:10:00.00,0,11,,0,17,,0,10,,0,25
07/28/2020 08:15:00.00,0,11,,0,17,,0,10,,0,25
07/28/2020 08:20:00.00,0,11,,0,17,,0,10,,0,25
07/28/2020 08:25:00.00,0,11,,0,17,,0,10,,0,25
07/28/2020 08:30:00.00,0,11,,0,17,,0,10,,1,26
07/28/2020 08:35:00.00,0,11,,0,17,,0,10,,0,26
07/28/2020 08:40:00.00,0,11,,0,17,,0,10,,0,26
07/28/2020 08:45:00.00,0,11,,0,17,,0,10,,0,26
07/28/2020 08:50:00.00,0,11,,0,17,,0,10,,0,26
07/28/2020 08:55:00.00,0,11,,0,17,,0,10,,1,27
07/28/2020 09:00:00.00,0,11,,0,17,,0,10,,0,27
07/28/2020 09:05:00.00,0,11,,1,18,,0,10,,0,27
07/28/2020 09:10:00.00,0,11,,0,18,,0,10,,0,27
07/28/2020 09:15:00.00,0,11,,0,18,,0,10,,0,27
07/28/2020 09:20:00.00,0,11,,1,19,,0,10,,0,27
07/28/2020 09:25:00.00,0,11,,0,19,,0,10,,0,27
07/28/2020 09:30:00.00,0,11,,0,19,,0,10,,0,27
07/28/2020 09:35:00.00,0,11,,0,19,,0,10,,0,27
07/28/2020 09:40:00.00,0,11,,0,19,,0,10,,0,27
07/28/2020 09:45:00.00,0,11,,0,19,,0,10,,0,27
07/28/2020 09:50:00.00,0,11,,0,19,,0,10,,0,27
07/28/2020 09:55:00.00,0,11,,0,19,,0,10,,0,27
07/28/2020 10:00:00.00,0,11,,0,19,,0,10,,0,27
07/28/2020 10:05:00.00,0,11,,0,19,,0,10,,0,27
07/28/2020 10:10:00.00,0,11,,0,19,,0,10,,0,27
07/28/2020 10:15:00.00,0,11,,0,19,,0,10,,0,27
07/28/2020 10:20:00.00,0,11,,0,19,,0,10,,0,27
07/28/2020 10:25:00.00,0,11,,0,19,,0,10,,0,27
07/28/2020 10:30:00.00,0,11,,0,19,,0,10,,0,27
07/28/2020 10:35:00.00,0,11,,0,19,,0,10,,0,27
07/28/2020 10:40:00.00,0,11,,0,19,,0,10,,0,27
07/28/2020 10:45:00.00,0,11,,0,19,,0,10,,0,27
07/28/2020 10:50:00.00,0,11,,0,19,,0,10,,0,27
07/28/2020 10:55:00.00,0,11,,0,19,,0,10,,0,27
