,," Zone 2",Run Total," Zone 3",Run Total," Zone 4",Run Total," Zone 5",Run Total
9/30/19 2:30,0,0,10,0,16,0,12,0,7
9/30/19 3:00,0,0,10,0,16,0,12,0,7
9/30/19 3:30,0,0,10,0,16,0,12,0,7
9/30/19 4:00,3,0,10,1,17,2,14,0,7
9/30/19 4:30,2,0,10,1,18,1,15,0,7
9/30/19 5:00,0,0,10,0,18,0,15,0,7
9/30/19 5:30,3,1,11,0,18,1,16,1,8
9/30/19 6:00,1,1,12,0,18,0,16,0,8
9/30/19 6:30,1,0,12,1,19,0,16,0,8
9/30/19 7:00,0,0,12,0,19,0,16,0,8
9/30/19 7:30,0,0,12,0,19,0,16,0,8
9/30/19 8:00,0,0,12,0,19,0,16,0,8
9/30/19 8:30,1,1,13,0,19,0,16,0,8
9/30/19 9:00,0,0,13,0,19,0,16,0,8
9/30/19 9:30,0,0,13,0,19,0,16,0,8
9/30/19 10:00,1,0,13,0,19,1,17,0,8
9/30/19 10:30,0,0,13,0,19,0,17,0,8
9/30/19 11:00,0,0,13,0,19,0,17,0,8
9/30/19 11:30,1,0,13,0,19,1,18,0,8
9/30/19 12:00,0,0,13,0,19,0,18,0,8
9/30/19 12:30,1,0,13,1,20,0,18,0,8
9/30/19 13:00,1,0,13,1,21,0,18,0,8
9/30/19 13:30,5,0,13,1,22,3,21,1,9
9/30/19 14:00,0,0,13,0,22,0,21,0,9
9/30/19 14:30,1,0,13,0,22,0,21,1,10
9/30/19 15:00,3,2,15,0,22,0,21,1,11
9/30/19 15:30,1,0,15,1,23,0,21,0,11
9/30/19 16:00,0,0,15,0,23,0,21,0,11
9/30/19 16:30,0,0,15,0,23,0,21,0,11
9/30/19 17:00,2,0,15,0,23,0,21,2,13
9/30/19 17:30,3,0,15,1,24,2,23,0,13
9/30/19 18:00,2,1,16,0,24,1,24,0,13
9/30/19 18:30,1,1,17,0,24,0,24,0,13
9/30/19 19:00,1,1,18,0,24,0,24,0,13
9/30/19 19:30,1,0,18,0,24,0,24,1,14
9/30/19 20:00,4,1,19,1,25,2,26,0,14
9/30/19 20:30,8,3,22,4,29,0,26,1,15
9/30/19 21:00,8,4,26,3,32,1,27,0,15
9/30/19 21:30,3,1,27,1,33,1,28,0,15
9/30/19 22:00,5,3,30,1,34,0,28,1,16
9/30/19 22:30,1,0,30,1,35,0,28,0,16
9/30/19 23:00,8,4,34,1,36,2,30,1,17
9/30/19 23:30,6,2,36,2,38,1,31,1,18
10/1/19,5,2,38,1,39,2,33,0,18
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,

